Word	FREQcount 	CDcount 	FREQlow 	Cdlow	SUBTLWF	Lg10WF
조그만	1483					3.1714
대부분이	1483					3.1714
내에서	1482					3.1711
벌이고	1482					3.1711
"설명했다.
"	1481					3.1708
아픈	1480					3.1706
몰래	1480					3.1706
투자	1478					3.1700
생각하지	1478					3.1700
들지	1477					3.1697
책이	1477					3.1697
법을	1476					3.1694
정책	1476					3.1694
꽉	1476					3.1694
거꾸로	1476					3.1694
무거운	1475					3.1691
교육의	1474					3.1688
가을	1471					3.1679
컴퓨터를	1471					3.1679
"네,"	1470					3.1676
잡은	1470					3.1676
을	1469					3.1673
주장했다.	1468					3.1670
현실에	1467					3.1667
그토록	1467					3.1667
길에	1466					3.1664
의미한다.	1466					3.1664
기가	1465					3.1661
인류의	1465					3.1661
배운	1465					3.1661
26일	1465					3.1661
계속해서	1464					3.1658
시대가	1464					3.1658
눈앞에	1463					3.1655
함부로	1462					3.1652
"나타났다.
"	1462					3.1652
속이	1461					3.1649
노력이	1457					3.1638
선생님은	1457					3.1638
사람들도	1456					3.1635
밝히고	1456					3.1635
"또,"	1454					3.1629
여섯	1454					3.1629
노무현	1451					3.1620
이전의	1451					3.1620
여러가지	1450					3.1617
계기가	1449					3.1614
":
"	1449					3.1614
뿐이었다.	1448					3.1611
벽에	1447					3.1608
6일	1447					3.1608
세상의	1447					3.1608
방을	1446					3.1605
국민이	1446					3.1605
현실의	1444					3.1599
사내가	1443					3.1596
장관은	1442					3.1593
"것""이라며"	1442					3.1593
추가	1442					3.1593
민중의	1442					3.1593
쪽을	1442					3.1593
인하여	1442					3.1593
되자	1441					3.1590
최초로	1440					3.1587
한번도	1439					3.1584
평생	1438					3.1581
현행	1438					3.1581
정부에	1437					3.1578
순수한	1437					3.1578
막기	1437					3.1578
했고	1436					3.1575
결정을	1435					3.1572
사회는	1434					3.1569
이로써	1434					3.1569
글	1434					3.1569
꾸준히	1434					3.1569
정말로	1433					3.1565
제공하는	1432					3.1562
본격적으로	1432					3.1562
또다른	1432					3.1562
찾아볼	1432					3.1562
음악을	1431					3.1559
사람으로	1431					3.1559
학생들은	1430					3.1556
미치는	1430					3.1556
끝이	1429					3.1553
담배	1429					3.1553
팔	1427					3.1547
약속을	1427					3.1547
오른쪽	1427					3.1547
모양으로	1427					3.1547
15일	1425					3.1541
감히	1423					3.1535
설명을	1423					3.1535
뚜렷한	1423					3.1535
군	1422					3.1532
우려가	1420					3.1526
관련이	1419					3.1523
우연히	1419					3.1523
직원	1419					3.1523
곁에	1419					3.1523
사내는	1418					3.1520
약간의	1418					3.1520
갖지	1418					3.1520
전부	1417					3.1517
상태로	1417					3.1517
재미있는	1417					3.1517
돌아가는	1417					3.1517
견해를	1417					3.1517
보내	1416					3.1514
감독의	1416					3.1514
치는	1416					3.1514
고등학교	1416					3.1514
관계는	1416					3.1514
않았을	1415					3.1511
들어오는	1415					3.1511
유럽의	1415					3.1511
왼쪽	1414					3.1508
"같았다.
"	1414					3.1508
나지	1413					3.1504
삼아	1412					3.1501
울고	1411					3.1498
시간의	1411					3.1498
길로	1411					3.1498
짓는	1411					3.1498
세워	1411					3.1498
승리를	1410					3.1495
20일	1410					3.1495
어린이	1410					3.1495
모양이다.	1407					3.1486
은행	1406					3.1483
실은	1406					3.1483
한반도	1406					3.1483
인생의	1406					3.1483
아래로	1405					3.1480
13일	1405					3.1480
차츰	1404					3.1477
7	1404					3.1477
전의	1402					3.1471
데가	1402					3.1471
여성이	1401					3.1467
생각된다.	1401					3.1467
해방	1401					3.1467
피가	1401					3.1467
우리도	1400					3.1464
빛이	1399					3.1461
결론을	1399					3.1461
현지	1399					3.1461
밑에서	1398					3.1458
경험이	1398					3.1458
미군	1397					3.1455
공간을	1397					3.1455
나라에서	1397					3.1455
개혁을	1397					3.1455
전체가	1397					3.1455
피를	1396					3.1452
문제와	1396					3.1452
생활에	1396					3.1452
걸음을	1396					3.1452
나무를	1395					3.1449
자체의	1394					3.1446
자본주의	1394					3.1446
일어날	1393					3.1443
오	1393					3.1443
다음달	1393					3.1443
제품을	1392					3.1440
예술의	1390					3.1433
아니지만	1390					3.1433
거친	1389					3.1430
방식을	1389					3.1430
마련이다.	1389					3.1430
이용할	1389					3.1430
"모른다.
"	1387					3.1424
부족한	1387					3.1424
"받았다.
"	1387					3.1424
저렇게	1386					3.1421
가지로	1386					3.1421
신문을	1386					3.1421
듯하다.	1385					3.1418
맡아	1385					3.1418
회사가	1383					3.1411
이루어지는	1383					3.1411
부분에	1383					3.1411
간다.	1383					3.1411
사진	1382					3.1408
사회주의	1380					3.1402
예정이다.	1380					3.1402
최대한	1379					3.1399
바꾸어	1379					3.1399
현상은	1379					3.1399
신	1379					3.1399
도리어	1378					3.1396
도덕적	1378					3.1396
전통	1378					3.1396
기다리는	1378					3.1396
걸고	1378					3.1396
같지	1377					3.1392
안되는	1377					3.1392
노래	1377					3.1392
"많다.
"	1377					3.1392
작가가	1377					3.1392
이럴	1376					3.1389
점도	1376					3.1389
끼고	1376					3.1389
미래를	1374					3.1383
홀로	1374					3.1383
"말이다.
"	1373					3.1380
희망을	1373					3.1380
문화가	1373					3.1380
해마다	1373					3.1380
받아야	1373					3.1380
뭐가	1372					3.1377
수준의	1371					3.1374
이리	1370					3.1370
생각한	1370					3.1370
싶어	1370					3.1370
확인할	1369					3.1367
전쟁이	1369					3.1367
들려	1369					3.1367
31일	1368					3.1364
"지적했다.
"	1368					3.1364
(3)	1368					3.1364
담긴	1368					3.1364
오늘날의	1367					3.1361
특수한	1367					3.1361
세상에서	1366					3.1358
조선의	1365					3.1355
대중	1365					3.1355
특유의	1365					3.1355
향한	1365					3.1355
든다.	1364					3.1351
붙여	1364					3.1351
동안의	1364					3.1351
소속	1364					3.1351
산을	1364					3.1351
시장을	1363					3.1348
1일	1362					3.1345
떠	1360					3.1339
웃으며	1360					3.1339
맛을	1359					3.1335
어릴	1359					3.1335
바꿔	1359					3.1335
봅니다.	1358					3.1332
건물	1358					3.1332
모양의	1357					3.1329
모양이었다.	1357					3.1329
화를	1357					3.1329
봐야	1356					3.1326
"뿐이다.
"	1356					3.1326
듯했다.	1355					3.1323
의미하는	1354					3.1319
자리잡고	1354					3.1319
후보가	1353					3.1316
생산	1353					3.1316
지극히	1353					3.1316
남긴	1353					3.1316
말입니다.	1352					3.1313
돌아오는	1352					3.1313
23일	1352					3.1313
되었던	1352					3.1313
바닥에	1352					3.1313
허리를	1352					3.1313
믿는	1351					3.1310
이용하는	1351					3.1310
부른다.	1351					3.1310
형태를	1351					3.1310
10일	1351					3.1310
늦게	1350					3.1307
그녀에게	1350					3.1307
소리에	1350					3.1307
없어요.	1349					3.1303
이를테면	1349					3.1303
뭐라고	1349					3.1303
간단히	1348					3.1300
북한은	1348					3.1300
것일까.	1348					3.1300
주인이	1348					3.1300
것일	1348					3.1300
오로지	1348					3.1300
the	1348					3.1300
다루는	1347					3.1297
빠르게	1346					3.1294
대선	1346					3.1294
지낸	1346					3.1294
가지를	1346					3.1294
자신은	1345					3.1290
보인	1344					3.1287
눈은	1344					3.1287
믿을	1343					3.1284
향후	1343					3.1284
바람을	1343					3.1284
대통령과	1343					3.1284
수사	1342					3.1281
주식을	1342					3.1281
어째서	1341					3.1278
달린	1341					3.1278
삶에	1340					3.1274
우는	1340					3.1274
있었다고	1339					3.1271
차가	1339					3.1271
자신에게	1339					3.1271
광고	1339					3.1271
죽음의	1338					3.1268
종종	1337					3.1265
상처를	1337					3.1265
직접적인	1337					3.1265
여기는	1337					3.1265
하늘	1337					3.1265
가르쳐	1337					3.1265
삶이	1336					3.1261
사건은	1336					3.1261
치열한	1336					3.1261
무릎을	1336					3.1261
시장에	1336					3.1261
경찰은	1336					3.1261
것일까?	1335					3.1258
글은	1334					3.1255
모두들	1333					3.1252
이해가	1333					3.1252
밝혀	1333					3.1252
조건을	1333					3.1252
근본적으로	1333					3.1252
경기가	1332					3.1248
사실에	1332					3.1248
둘러싸고	1331					3.1245
의지를	1331					3.1245
놀라운	1330					3.1242
글이	1330					3.1242
언어의	1330					3.1242
인제	1330					3.1242
위	1330					3.1242
표현을	1330					3.1242
슬픈	1329					3.1239
기억이	1329					3.1239
충격을	1329					3.1239
두는	1328					3.1235
보니까	1328					3.1235
기대를	1327					3.1232
성	1326					3.1229
5년	1325					3.1225
목표로	1325					3.1225
병을	1325					3.1225
사용한	1324					3.1222
의원이	1323					3.1219
"덧붙였다.
"	1323					3.1219
입	1323					3.1219
대단한	1322					3.1216
"들었다.
"	1322					3.1216
특정한	1321					3.1212
사랑이	1321					3.1212
크다.	1320					3.1209
몰고	1320					3.1209
마친	1320					3.1209
2001년	1320					3.1209
않지만	1318					3.1202
이거	1318					3.1202
지나가는	1318					3.1202
일찍이	1318					3.1202
힘으로	1318					3.1202
찾고	1317					3.1199
바라보았다.	1316					3.1196
5일	1316					3.1196
영어	1316					3.1196
05판	1316					3.1196
첫째	1315					3.1193
주장이	1315					3.1193
보내고	1315					3.1193
이유	1315					3.1193
회의를	1314					3.1189
논란이	1314					3.1189
"것인데,"	1314					3.1189
밤이	1313					3.1186
덕분에	1313					3.1186
씨	1312					3.1183
반대	1311					3.1179
후보의	1311					3.1179
규모가	1310					3.1176
인생을	1309					3.1173
물어	1308					3.1169
살던	1308					3.1169
의견이	1308					3.1169
주인	1306					3.1163
하거나	1306					3.1163
번도	1305					3.1159
"뿐,"	1305					3.1159
말과	1305					3.1159
만들기	1304					3.1156
정치를	1303					3.1153
서로의	1303					3.1153
한숨을	1303					3.1153
"아니고,"	1302					3.1149
죽는	1302					3.1149
신라	1301					3.1146
방송	1301					3.1146
키가	1300					3.1143
토대로	1300					3.1143
것이나	1300					3.1143
자유로운	1300					3.1143
별다른	1300					3.1143
개가	1299					3.1139
과학적	1298					3.1136
죽고	1298					3.1136
어디까지나	1298					3.1136
흐름을	1298					3.1136
텔레비전	1297					3.1133
무렵	1297					3.1133
구체적	1296					3.1129
떠날	1296					3.1129
함으로써	1296					3.1129
겨울	1295					3.1126
세계가	1295					3.1126
손	1295					3.1126
올려	1294					3.1123
"후,"	1293					3.1119
8	1292					3.1116
대표는	1292					3.1116
인간과	1292					3.1116
"되었고,"	1291					3.1113
작가는	1291					3.1113
제시한	1291					3.1113
1천	1290					3.1109
이어지는	1289					3.1106
거라고	1289					3.1106
남편	1289					3.1106
짓을	1288					3.1103
서비스	1288					3.1103
"좋다.
"	1288					3.1103
병이	1288					3.1103
요구를	1288					3.1103
선생의	1288					3.1103
불렀다.	1288					3.1103
2차	1287					3.1099
아	1287					3.1099
어차피	1287					3.1099
"셋째,"	1286					3.1096
깨끗한	1286					3.1096
약을	1285					3.1092
주장하고	1285					3.1092
국가가	1285					3.1092
한국에서	1284					3.1089
의식이	1283					3.1086
환자의	1282					3.1082
사업	1282					3.1082
일제히	1282					3.1082
그것에	1281					3.1079
영화의	1280					3.1075
핵심	1280					3.1075
아직은	1280					3.1075
삶은	1279					3.1072
3)	1278					3.1069
분야에서	1278					3.1069
바다	1278					3.1069
존재를	1277					3.1065
옆으로	1277					3.1065
디지털	1276					3.1062
지방의	1276					3.1062
"""내"	1276					3.1062
때문이라고	1275					3.1059
대구	1275					3.1059
우린	1274					3.1055
신의	1273					3.1052
도시의	1273					3.1052
여성은	1273					3.1052
세우고	1272					3.1048
딸을	1271					3.1045
그것이다.	1270					3.1041
뿌리를	1270					3.1041
관해	1270					3.1041
과학	1269					3.1038
너의	1269					3.1038
시작한다.	1269					3.1038
발	1269					3.1038
쪽에서	1268					3.1035
북한에	1267					3.1031
그들에게	1267					3.1031
웃고	1267					3.1031
인근	1267					3.1031
죽어	1267					3.1031
다시는	1267					3.1031
하늘이	1266					3.1028
몰랐다.	1265					3.1024
붙은	1265					3.1024
좋고	1265					3.1024
젖을	1264					3.1021
대체	1264					3.1021
읽어	1263					3.1017
분야의	1263					3.1017
되었을	1262					3.1014
들어왔다.	1261					3.1011
내리고	1261					3.1011
기능이	1261					3.1011
이곳에	1260					3.1007
말해서	1260					3.1007
데도	1260					3.1007
부담을	1259					3.1004
국민들의	1259					3.1004
남편을	1259					3.1004
조	1259					3.1004
약한	1259					3.1004
소련	1258					3.1000
최근에	1257					3.0997
풀어	1257					3.0997
거듭	1257					3.0997
다리	1256					3.0993
대변인은	1256					3.0993
예로	1255					3.0990
대학을	1254					3.0986
예쁜	1252					3.0980
역사는	1252					3.0980
진	1252					3.0980
목이	1252					3.0980
저절로	1251					3.0976
방문을	1250					3.0973
연구가	1250					3.0973
것인가	1250					3.0973
5.	1250					3.0973
가벼운	1249					3.0969
98년	1249					3.0969
전제로	1249					3.0969
만든다.	1249					3.0969
많지	1248					3.0966
타는	1248					3.0966
미소를	1248					3.0966
썼다.	1247					3.0962
결정적인	1247					3.0962
인사	1247					3.0962
깨끗이	1245					3.0955
조치를	1245					3.0955
시작하는	1244					3.0952
높이는	1244					3.0952
하나씩	1243					3.0948
한나라당은	1243					3.0948
"다음,"	1242					3.0945
시간과	1242					3.0945
핵	1242					3.0945
엉뚱한	1242					3.0945
잇따라	1241					3.0941
?	1241					3.0941
가능성도	1241					3.0941
전기	1241					3.0941
고급	1241					3.0941
탄	1240					3.0938
때면	1240					3.0938
일제	1240					3.0938
속하는	1240					3.0938
변화에	1239					3.0934
그곳에	1239					3.0934
종이	1239					3.0934
사태가	1238					3.0931
너를	1238					3.0931
선생은	1238					3.0931
이렇듯	1238					3.0931
써야	1238					3.0931
없었습니다.	1237					3.0927
지는	1237					3.0927
전날	1237					3.0927
일으키는	1237					3.0927
그러는	1237					3.0927
상태에	1237					3.0927
묻고	1236					3.0924
"말았다.
"	1236					3.0924
이회창	1236					3.0924
개혁	1235					3.0920
법이	1235					3.0920
서둘러	1234					3.0917
즐기는	1234					3.0917
수준을	1233					3.0913
부인	1233					3.0913
않는다고	1233					3.0913
늘고	1233					3.0913
그것의	1233					3.0913
소문이	1233					3.0913
대책을	1233					3.0913
봐도	1233					3.0913
사정을	1232					3.0910
통일	1231					3.0906
참여하는	1231					3.0906
이가	1231					3.0906
여행을	1230					3.0903
얘기는	1229					3.0899
"했지만,"	1229					3.0899
나타날	1229					3.0899
김영삼	1228					3.0896
칼을	1228					3.0896
그러다	1228					3.0896
최근에는	1228					3.0896
TV	1228					3.0896
하자.	1227					3.0892
느낀	1227					3.0892
갖다	1227					3.0892
다음의	1226					3.0888
신이	1226					3.0888
버릴	1226					3.0888
미처	1226					3.0888
"강조했다.
"	1226					3.0888
정도를	1225					3.0885
솔직히	1225					3.0885
나설	1225					3.0885
불가능한	1224					3.0881
회사는	1224					3.0881
경제가	1224					3.0881
위치에	1224					3.0881
고향	1223					3.0878
행사를	1223					3.0878
유사한	1223					3.0878
후에는	1223					3.0878
빌려	1221					3.0871
바른	1221					3.0871
아무튼	1221					3.0871
조사한	1220					3.0867
자체	1220					3.0867
교수가	1219					3.0864
나서는	1218					3.0860
놓인	1218					3.0860
지구	1217					3.0856
인물이	1217					3.0856
자리가	1217					3.0856
갈등을	1217					3.0856
최근의	1217					3.0856
끝나고	1217					3.0856
중국은	1216					3.0853
달이	1216					3.0853
이해를	1215					3.0849
전쟁의	1215					3.0849
과정에	1215					3.0849
얘기	1214					3.0846
일본에서	1214					3.0846
돌을	1214					3.0846
비판을	1214					3.0846
미래의	1214					3.0846
내렸다.	1213					3.0842
주식	1213					3.0842
하루에	1213					3.0842
올랐다.	1213					3.0842
반면에	1213					3.0842
얻는	1212					3.0839
전적으로	1212					3.0839
어둠	1212					3.0839
막상	1211					3.0835
마찬가지다.	1210					3.0831
마주	1210					3.0831
세월이	1210					3.0831
저희	1209					3.0828
아이들에게	1209					3.0828
권력을	1209					3.0828
7일	1209					3.0828
필요	1209					3.0828
저런	1209					3.0828
시골	1208					3.0824
이후에	1208					3.0824
나와서	1207					3.0821
새삼	1207					3.0821
바라보며	1207					3.0821
지역에서	1207					3.0821
수준에	1207					3.0821
장을	1206					3.0817
끝으로	1205					3.0813
주가가	1205					3.0813
중앙	1205					3.0813
자연을	1204					3.0810
주면	1204					3.0810
일련의	1203					3.0806
이달	1203					3.0806
떠나는	1203					3.0806
요즘은	1203					3.0806
편이	1203					3.0806
등장하는	1202					3.0803
지지를	1202					3.0803
중학교	1202					3.0803
우리들은	1202					3.0803
사정이	1202					3.0803
앞으로도	1202					3.0803
되게	1201					3.0799
소설은	1201					3.0799
주변의	1201					3.0799
"있어,"	1200					3.0795
한국인의	1200					3.0795
25일	1200					3.0795
학생이	1199					3.0792
불만을	1199					3.0792
병원에	1199					3.0792
라는	1198					3.0788
주제로	1198					3.0788
유엔	1198					3.0788
목표를	1198					3.0788
원인을	1197					3.0785
이외의	1196					3.0781
서양의	1196					3.0781
차이는	1196					3.0781
예술	1196					3.0781
회사에	1195					3.0777
자꾸만	1195					3.0777
벌떡	1195					3.0777
긍정적인	1195					3.0777
상품을	1195					3.0777
않았지만	1194					3.0774
"준다.
"	1194					3.0774
돈으로	1194					3.0774
때문입니다.	1193					3.0770
뜻으로	1193					3.0770
한마디	1192					3.0766
지키고	1191					3.0763
이곳	1191					3.0763
이해하는	1191					3.0763
영화는	1191					3.0763
그보다	1190					3.0759
하다	1190					3.0759
만다.	1188					3.0752
뒤에서	1188					3.0752
의식	1188					3.0752
몰라도	1188					3.0752
―	1188					3.0752
상황은	1187					3.0748
세계는	1187					3.0748
그러면서도	1187					3.0748
자칫	1186					3.0745
하기도	1186					3.0745
않았습니다.	1186					3.0745
장면을	1186					3.0745
속에서도	1186					3.0745
마른	1186					3.0745
필요는	1186					3.0745
쌀	1186					3.0745
외에도	1185					3.0741
마당에	1184					3.0737
부드러운	1183					3.0734
열었다.	1183					3.0734
남녀	1183					3.0734
집중	1183					3.0734
지도	1182					3.0730
형이	1182					3.0730
일일이	1182					3.0730
벌이는	1182					3.0730
노인은	1181					3.0726
짙은	1181					3.0726
"결과,"	1181					3.0726
따르는	1180					3.0722
사고를	1180					3.0722
적어	1180					3.0722
살아온	1180					3.0722
1차	1180					3.0722
의사	1180					3.0722
없이는	1179					3.0719
나가서	1179					3.0719
삼	1178					3.0715
"1,"	1178					3.0715
갖가지	1178					3.0715
부정적인	1178					3.0715
내부	1178					3.0715
풍부한	1177					3.0711
뉴스	1176					3.0708
마땅히	1176					3.0708
잡는	1176					3.0708
거는	1176					3.0708
이론을	1175					3.0704
행복한	1175					3.0704
조금만	1175					3.0704
비싼	1175					3.0704
삶과	1174					3.0700
쪽에	1174					3.0700
일본을	1173					3.0697
곳	1173					3.0697
일으켜	1173					3.0697
혹	1173					3.0697
죄를	1173					3.0697
들여	1172					3.0693
아기를	1172					3.0693
영원한	1171					3.0689
사람들과	1171					3.0689
뒤늦게	1171					3.0689
중대한	1171					3.0689
뽑아	1170					3.0686
돈은	1170					3.0686
아내를	1170					3.0686
움직임을	1169					3.0682
하려고	1169					3.0682
처음에	1168					3.0678
"그래,"	1167					3.0674
의미는	1166					3.0671
것의	1165					3.0667
삼고	1165					3.0667
버스	1164					3.0663
오르는	1164					3.0663
질	1164					3.0663
놓았다.	1163					3.0660
짝이	1162					3.0656
찾기	1162					3.0656
줄곧	1162					3.0656
벗어나지	1162					3.0656
일어났다.	1161					3.0652
때와	1161					3.0652
회장	1161					3.0652
이윽고	1161					3.0652
비디오	1160					3.0648
45판	1159					3.0645
대북	1157					3.0637
즐겨	1156					3.0633
소중한	1156					3.0633
즐거운	1156					3.0633
빨간	1155					3.0630
이의	1155					3.0630
이틀	1154					3.0626
책임이	1154					3.0626
때를	1154					3.0626
숨이	1153					3.0622
성공한	1153					3.0622
반대하는	1152					3.0618
주기	1152					3.0618
역사가	1151					3.0615
쪽이	1151					3.0615
할지	1151					3.0615
이로	1151					3.0615
사이를	1150					3.0611
"나왔다.
"	1150					3.0611
되었다는	1150					3.0611
언어를	1149					3.0607
좋게	1149					3.0607
집단	1149					3.0607
차례로	1148					3.0603
실질적인	1148					3.0603
저의	1148					3.0603
재산을	1147					3.0599
그룹	1147					3.0599
안될	1147					3.0599
말하지	1147					3.0599
사랑과	1146					3.0596
법적	1146					3.0596
불법	1146					3.0596
강조하는	1145					3.0592
에	1145					3.0592
스스로의	1145					3.0592
귀에	1144					3.0588
사랑은	1144					3.0588
살이	1144					3.0588
있을까?	1143					3.0584
가능하다.	1143					3.0584
수준으로	1143					3.0584
흘러	1143					3.0584
모르지만	1142					3.0580
알았다.	1142					3.0580
되었습니다.	1142					3.0580
아버지와	1142					3.0580
그곳에서	1141					3.0577
땀을	1141					3.0577
질서를	1141					3.0577
가격이	1140					3.0573
받는다.	1140					3.0573
환경을	1140					3.0573
필자는	1139					3.0569
"일,"	1139					3.0569
없어.	1138					3.0565
사이에는	1138					3.0565
기록을	1138					3.0565
짐을	1138					3.0565
일정	1137					3.0561
미칠	1137					3.0561
본다면	1137					3.0561
푹	1137					3.0561
올린	1136					3.0558
나이에	1136					3.0558
못하면	1136					3.0558
이전	1135					3.0554
건너	1135					3.0554
정권의	1135					3.0554
지하철	1134					3.0550
먹으면	1133					3.0546
느끼지	1133					3.0546
경기에서	1133					3.0546
위기에	1132					3.0542
별도로	1132					3.0542
자금을	1132					3.0542
바람	1132					3.0542
출신의	1132					3.0542
신문은	1131					3.0538
철저하게	1131					3.0538
뒤에는	1131					3.0538
둘이	1131					3.0538
저를	1130					3.0535
돌아	1130					3.0535
막대한	1130					3.0535
문이	1129					3.0531
사용	1129					3.0531
바람직한	1129					3.0531
사용하고	1128					3.0527
신경	1128					3.0527
식사를	1127					3.0523
멋진	1127					3.0523
비롯하여	1126					3.0519
문제점을	1126					3.0519
주장은	1126					3.0519
한글	1125					3.0515
몸은	1125					3.0515
두번째	1125					3.0515
땅이	1125					3.0515
냈다.	1125					3.0515
"""무슨"	1125					3.0515
놀란	1124					3.0512
피할	1124					3.0512
현실적으로	1124					3.0512
상태가	1123					3.0508
쪽	1123					3.0508
관련한	1123					3.0508
날마다	1123					3.0508
날은	1123					3.0508
않았다는	1123					3.0508
존재가	1123					3.0508
속도로	1123					3.0508
전면	1123					3.0508
책상	1123					3.0508
쥐고	1123					3.0508
사고가	1122					3.0504
특징을	1121					3.0500
그려	1121					3.0500
위를	1121					3.0500
"날,"	1121					3.0500
97년	1120					3.0496
먹지	1120					3.0496
어머니와	1120					3.0496
리가	1119					3.0492
웃는	1118					3.0488
차원의	1118					3.0488
스스로를	1118					3.0488
물고	1117					3.0484
간신히	1117					3.0484
겪은	1117					3.0484
해주는	1116					3.0481
그것	1116					3.0481
한계가	1115					3.0477
이외에	1115					3.0477
전해	1115					3.0477
선생이	1114					3.0473
분야에	1114					3.0473
지속적으로	1114					3.0473
"""아,"	1114					3.0473
"했는데,"	1114					3.0473
코를	1114					3.0473
업무를	1113					3.0469
12일	1113					3.0469
다리가	1113					3.0469
부인이	1112					3.0465
엄마의	1111					3.0461
배우는	1111					3.0461
다닐	1111					3.0461
대상을	1111					3.0461
듣지	1111					3.0461
선생님	1110					3.0457
개인적인	1110					3.0457
물음에	1109					3.0453
있는가?	1109					3.0453
일곱	1109					3.0453
드러난	1108					3.0449
가능성은	1108					3.0449
말없이	1108					3.0449
난다.	1107					3.0445
주위를	1107					3.0445
염두에	1107					3.0445
지키는	1107					3.0445
맞추어	1106					3.0441
여지가	1106					3.0441
중국에	1106					3.0441
담겨	1106					3.0441
"나섰다.
"	1105					3.0438
낳은	1105					3.0438
존	1105					3.0438
즉각	1105					3.0438
정권	1105					3.0438
대거	1104					3.0434
자연히	1104					3.0434
병원	1103					3.0430
만나고	1103					3.0430
살짝	1103					3.0430
부르고	1102					3.0426
즐길	1102					3.0426
당의	1102					3.0426
손님이	1102					3.0426
물은	1102					3.0426
쓰게	1102					3.0426
식민지	1101					3.0422
누군가	1101					3.0422
"예.
"	1101					3.0422
없던	1101					3.0422
"하나,"	1101					3.0422
기사를	1100					3.0418
늘어난	1100					3.0418
에너지	1099					3.0414
이같이	1098					3.0410
초점을	1098					3.0410
최선을	1098					3.0410
의사가	1097					3.0406
권	1097					3.0406
그후	1097					3.0406
힘입어	1096					3.0402
사랑	1096					3.0402
짐작할	1096					3.0402
지적	1096					3.0402
"""이번"	1095					3.0398
사람이다.	1095					3.0398
가량	1095					3.0398
없도록	1094					3.0394
운동의	1093					3.0390
일부를	1093					3.0390
놀라	1093					3.0390
개념이	1093					3.0390
인식을	1092					3.0386
바다를	1092					3.0386
같으면	1092					3.0386
박사는	1091					3.0382
대전	1090					3.0378
다음으로	1089					3.0374
경찰	1089					3.0374
되기도	1089					3.0374
좀처럼	1089					3.0374
바르게	1089					3.0374
가지의	1088					3.0370
나눠	1088					3.0370
교수의	1088					3.0370
만나게	1087					3.0366
억지로	1087					3.0366
칠	1086					3.0362
설명할	1086					3.0362
음악	1086					3.0362
누군가가	1086					3.0362
때에도	1085					3.0358
내릴	1085					3.0358
안을	1085					3.0358
말아야	1085					3.0358
기술이	1085					3.0358
영향력을	1084					3.0354
사태를	1084					3.0354
고쳐	1084					3.0354
수십	1084					3.0354
비롯된	1083					3.0350
다룬	1083					3.0350
감고	1083					3.0350
연구는	1083					3.0350
유난히	1083					3.0350
생활이	1083					3.0350
(	1082					3.0346
10판	1082					3.0346
겸	1082					3.0346
대답했다.	1082					3.0346
급히	1082					3.0346
19세기	1082					3.0346
서구	1082					3.0346
적당한	1082					3.0346
옆에서	1081					3.0342
수출	1081					3.0342
과학의	1081					3.0342
건강한	1081					3.0342
시작하였다.	1081					3.0342
밑으로	1080					3.0338
"하겠다.
"	1079					3.0334
무엇인지	1079					3.0334
대신에	1079					3.0334
보여준다.	1078					3.0330
태도는	1078					3.0330
무엇인가	1078					3.0330
"없으며,"	1078					3.0330
것이니	1078					3.0330
이끌고	1078					3.0330
하자	1078					3.0330
찾지	1077					3.0326
일방적으로	1076					3.0322
광고를	1076					3.0322
and	1076					3.0322
주어	1076					3.0322
니	1076					3.0322
부담이	1076					3.0322
대상	1075					3.0318
축구	1075					3.0318
감정이	1074					3.0314
전화가	1074					3.0314
한결	1074					3.0314
한창	1074					3.0314
요소가	1073					3.0310
드라마	1073					3.0310
그도	1072					3.0306
공격을	1072					3.0306
2백	1072					3.0306
몸의	1072					3.0306
뜻이다.	1071					3.0302
중간	1071					3.0302
글의	1071					3.0302
변화는	1070					3.0298
띠고	1069					3.0294
운동이	1069					3.0294
원칙을	1069					3.0294
일어나고	1069					3.0294
말까지	1069					3.0294
끝나는	1069					3.0294
뜻하는	1069					3.0294
공동으로	1068					3.0290
남에게	1067					3.0286
■	1067					3.0286
계약을	1066					3.0282
원을	1066					3.0282
눈치를	1066					3.0282
나타나지	1066					3.0282
치료를	1065					3.0278
지역을	1065					3.0278
과거에	1064					3.0273
잔을	1064					3.0273
후의	1064					3.0273
한국인	1063					3.0269
이룬	1063					3.0269
대표적	1063					3.0269
계획이다.	1063					3.0269
미국을	1062					3.0265
자세로	1062					3.0265
부모가	1062					3.0265
지위를	1061					3.0261
것이므로	1061					3.0261
여기서는	1061					3.0261
사상을	1060					3.0257
알아	1060					3.0257
앞둔	1060					3.0257
금융	1060					3.0257
청소년	1060					3.0257
정한	1060					3.0257
정상적인	1059					3.0253
발전에	1059					3.0253
강력히	1058					3.0249
자유	1058					3.0249
후보를	1058					3.0249
말이야.	1058					3.0249
벽을	1057					3.0245
국제적	1057					3.0245
나눌	1057					3.0245
갖는다.	1057					3.0245
상황	1057					3.0245
20	1057					3.0245
의혹을	1057					3.0245
마시는	1057					3.0245
할머니는	1057					3.0245
모르겠다.	1057					3.0245
찾은	1057					3.0245
사건에	1057					3.0245
웬	1056					3.0241
내놓은	1056					3.0241
어느날	1055					3.0237
노릇을	1055					3.0237
형은	1055					3.0237
사람에	1055					3.0237
것만은	1055					3.0237
의식의	1054					3.0233
배경으로	1054					3.0233
